,name_x,free_bikes,longitude,latitude,fsq_id,category_id,category_name,distance,country,city,address,name_y
371,Victor Hugo - Magasins Généraux,6.0,2.368,48.903,,,,,,,,
372,Gare Saint-Lazare - Cour du Havre,1.0,2.327,48.876,,,,,,,,
373,Guichet - Jean Jaurès,28.0,2.302,48.905,,,,,,,,
374,Evariste Galois,9.0,2.413,48.873,,,,,,,,
375,Claude Bernard - Arbalète,14.0,2.348,48.84,,,,,,,,
376,Rapp - Place du Général Gouraud,24.0,2.3,48.858,,,,,,,,
377,Edgar Quinet - Gaité,1.0,2.325,48.841,,,,,,,,
378,Place Carnot,9.0,2.442,48.856,,,,,,,,
379,Gravelle - Route du Bac,7.0,2.418,48.824,,,,,,,,
380,René Boulanger - Lancry,20.0,2.36,48.869,,,,,,,,
381,Ceinture du Lac Inferieure - Saint-Cloud,15.0,2.262,48.862,,,,,,,,
382,Anatole France - Jean Lolive,5.0,2.425,48.895,,,,,,,,
383,Boyer-Barret - Raymond Losserand,7.0,2.317,48.833,,,,,,,,
